"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"4175",1,2300,"",4,4,1150,4,"","Prenda"
"4182",0,1700,"",4,4,850,4,"","Prenda"
"4188",6,1480,"",4,4,740,4,"","Prenda"
"4192",6,2300,"",4,4,1150,4,"","Prenda"
"4194",1,1900,"",4,4,950,4,"","Prenda"
"4196",1,1700,"",4,4,850,4,"","Prenda"
"4218",5,1440,"",4,4,720,4,"","Prenda"
"4223",2,1440,"",4,4,720,4,"","Prenda"
"4224",4,2360,"",4,4,1180,4,"","Prenda"
"4232",3,2600,"",4,4,1300,4,"","Prenda"
"4234",8,1920,"",4,4,960,4,"","Prenda"
"4262",2,2500,"",4,4,1250,4,"","Prenda"
"4263",2,1700,"",4,4,850,4,"","Prenda"
"4264",7,1600,"",4,4,800,4,"","Prenda"
"4268",5,2200,"",4,4,1100,4,"","Prenda"
"4272",4,1960,"",4,4,980,4,"","Prenda"
"4285",7,2200,"",4,4,1100,4,"","Prenda"
"4304",3,2398,"",4,4,1199,4,"","Prenda"
"4312",2,1700,"",4,4,850,4,"","Prenda"
"4329",3,1598,"",4,4,799,4,"","Prenda"
"4342",2,2400,"",4,4,1200,4,"","Prenda"
"4351",3,1700,"",4,4,850,4,"","Prenda"
"4388",5,3300,"",4,4,1650,4,"","Prenda"
"4437",11,1780,"",4,4,890,4,"","Prenda"
"4439",7,2650,"",4,4,1325,4,"","Prenda"
"14023",7,1100,"",4,4,550,4,"","Prenda"
"14028",4,1100,"",4,4,550,4,"","Prenda"
"14053",4,1600,"",4,4,800,4,"","Prenda"
"14060",0,1940,"",4,4,970,4,"","Prenda"
"9070",5,1000,"",2,2,500,4,"","Prenda"
"9100",9,1200,"",2,2,600,4,"","Prenda"
"9201",0,1200,"",2,2,600,4,"","Prenda"
"9201",2,1200,"",2,2,600,4,"","Prenda"
"9320",8,1200,"",2,2,600,4,"","Prenda"
"9375",6,1200,"",2,2,600,4,"","Prenda"
"9388",4,1000,"",2,2,500,4,"","Prenda"
"9395",8,1000,"",2,2,500,4,"","Prenda"
"9399",6,1000,"",2,2,500,4,"","Prenda"
"1425",27,420,"",1,1,210,4,"","Prenda"
"1025",2,210,"",1,1,105,4,"","Prenda"
"1122",3,1100,"",5,5,550,4,"","Prenda"
"1132",4,1200,"",5,5,600,4,"","Prenda"
"1220",2,1300,"",5,5,650,4,"","Prenda"
"1240",4,1300,"",5,5,650,4,"","Prenda"
"1551",3,1200,"",5,5,600,4,"","Prenda"
"1554",8,1200,"",5,5,600,4,"","Prenda"
"1662",12,1200,"",5,5,600,4,"","Prenda"
"1766",9,1300,"",5,5,650,4,"","Prenda"
"1771",1,1200,"",5,5,600,4,"","Prenda"
