modelo,nombre,n_existencias,precio,descripcion,id_proveedor,id_marca,costo,id_tienda,notas
9301,Eli Corame,7,1000.00,"",2,2,500.00,1,""
9302,Eli Corame,9,1200.00,"",2,2,600.00,1,""
9310,Eli Corame,6,1000.00,"",2,2,500.00,1,""
9315,Eli Corame,3,1000.00,"",2,2,500.00,1,""
9320,Eli Corame,5,1200.00,"",2,2,600.00,1,""
9375,Eli Corame,6,1200.00,"",2,2,600.00,1,""
634,Bianchi,1,2200.00,"",10,11,1100.00,1,""
8345,Bianchi,7,2000.00,"",10,11,1000.00,1,""
514,Bianchi,4,2200.00,"",10,11,1100.00,1,""
508,Bianchi,3,1800.00,"",10,11,900.00,1,""
344,Bianchi,5,1700.00,"",10,11,850.00,1,""
712,Punto Blanco,1,800.00,"",8,9,400.00,1,""
719,Punto Blanco,1,800.00,"",8,9,400.00,1,""
720-A,Punto Blanco,3,800.00,"",8,9,400.00,1,""
720,Punto Blanco,2,800.00,"",8,9,400.00,1,""
726,Punto Blanco,2,800.00,"",8,9,400.00,1,""
727,Punto Blanco,6,800.00,"",8,9,400.00,1,""
Aretes,No Especificado,2,200.00,"",11,12,100.00,1,""
Brazaletes,No Especificado,3,400.00,"",11,12,200.00,1,""
Capa-mod,No Especificado,5,200.00,"",11,12,100.00,1,""
Capitas,No Especificado,46,200.00,"",11,12,100.00,1,""
Clau-chalbord,No Especificado,9,400.00,"",11,12,200.00,1,""
CHAL-EVE,No Especificado,1,140.00,"",11,12,70.00,1,""
Chal-conejo,No Especificado,1,400.00,"",11,12,200.00,1,""
Chal-shifon,No Especificado,16,120.00,"",11,12,60.00,1,""
Bolerito-mod,No Especificado,15,120.00,"",11,12,60.00,1,""
Bolero,No Especificado,38,240.00,"",11,12,120.00,1,""
Saco,No Especificado,17,200.00,"",11,12,100.00,1,""
Saco-Shifón,No Especificado,13,300.00,"",11,12,150.00,1,""
148,Bianchi,1,3360.00,"",10,11,1680.00,3,""
182,Bianchi,5,2000.00,"",10,11,1000.00,3,""
262,Bianchi,6,2400.00,"",10,11,1200.00,3,""
264,Bianchi,1,2300.00,"",10,11,1150.00,3,""
266,Bianchi,4,2000.00,"",10,11,1000.00,3,""
274,Bianchi,5,2360.00,"",10,11,1180.00,3,""
276,Bianchi,4,1040.00,"",10,11,520.00,3,""
282,Bianchi,3,1780.00,"",10,11,890.00,3,""
296,Bianchi,1,2900.00,"",10,11,1450.00,3,""
306,Bianchi,6,2360.00,"",10,11,1180.00,3,""
322,Bianchi,3,1900.00,"",10,11,950.00,3,""
324,Bianchi,2,2360.00,"",10,11,1180.00,3,""
332,Bianchi,0,2200.00,"",10,11,1100.00,3,""
332,Bianchi,1,700.00,"",10,11,350.00,3,""
338,Bianchi,1,2260.00,"",10,11,1130.00,3,""
344,Bianchi,12,1700.00,"",10,11,850.00,3,""
346,Bianchi,1,1600.00,"",10,11,800.00,3,""
352,Bianchi,3,700.00,"",10,11,350.00,3,""
356,Bianchi,7,2400.00,"",10,11,1200.00,3,""
362,Bianchi,4,2400.00,"",10,11,1200.00,3,""
374,Bianchi,2,2000.00,"",10,11,1000.00,3,""
380,Bianchi,7,2360.00,"",10,11,1180.00,3,""
398,Bianchi,0,2200.00,"",10,11,1100.00,3,""
400,Bianchi,0,2000.00,"",10,11,1000.00,3,""
432,Bianchi,1,2460.00,a Bianca 27jul,10,11,1230.00,3,""
444,Bianchi,9,2200.00,"",10,11,1100.00,3,""
450,Bianchi,0,1800.00,"",10,11,900.00,3,""
466,Bianchi,1,2600.00,"",10,11,1300.00,3,""
482,Bianchi,1,2200.00,"",10,11,1100.00,3,""
484,Bianchi,1,1900.00,"",10,11,950.00,3,""
506,Bianchi,7,2400.00,"",10,11,1200.00,3,""
508,Bianchi,6,1800.00,"",10,11,900.00,3,""
514,Bianchi,9,2200.00,"",10,11,1100.00,3,""
530,Bianchi,1,1900.00,"",10,11,950.00,3,""
580,Bianchi,1,2400.00,"",10,11,1200.00,3,""
604,Bianchi,10,2400.00,"",10,11,1200.00,3,""
616,Bianchi,8,2000.00,"",10,11,1000.00,3,""
620,Bianchi,1,2200.00,"",10,11,1100.00,3,""
626,Bianchi,5,1800.00,"",10,11,900.00,3,""
634,Bianchi,4,2200.00,"",10,11,1100.00,3,""
640,Bianchi,4,2400.00,518,10,11,1200.00,3,""
640,Bianchi,4,2400.00,"",10,11,1200.00,3,""
698,Bianchi,0,1920.00,"",10,11,960.00,3,""
702,Bianchi,12,1720.00,"",10,11,860.00,3,""
706,Bianchi,1,1900.00,"",10,11,950.00,3,""
726,Bianchi,3,2700.00,"",10,11,1350.00,3,""
762,Bianchi,6,2300.00,"",10,11,1150.00,3,""
772,Bianchi,2,1900.00,"",10,11,950.00,3,""
774,Bianchi,9,1760.00,"",10,11,880.00,3,""
776,Bianchi,1,2400.00,"",10,11,1200.00,3,""
840,Bianchi,3,2100.00,"",10,11,1050.00,3,""
860,Bianchi,3,2200.00,"",10,11,1100.00,3,""
874,Bianchi,3,2300.00,"",10,11,1150.00,3,""
1246,Bianchi,1,2360.00,"",10,11,1180.00,3,""
1342,Bianchi,1,1800.00,"",10,11,900.00,3,""
1518,Bianchi,7,2400.00,"",10,11,1200.00,3,""
3999,Bianchi,1,500.00,"",10,11,250.00,3,""
4271,Bianchi,2,1470.00,"",10,11,735.00,3,""
4393,Bianchi,1,400.00,"",10,11,200.00,3,""
4497,Bianchi,15,1260.00,"",10,11,630.00,3,""
4735,Bianchi,3,1000.00,"",10,11,500.00,3,""
4839,Bianchi,11,1700.00,"",10,11,850.00,3,""
4877,Bianchi,5,1470.00,"",10,11,735.00,3,""
5061,Bianchi,4,400.00,"",10,11,200.00,3,""
5131,Bianchi,1,200.00,"",10,11,100.00,3,""
5367,Bianchi,3,200.00,rebaja,10,11,100.00,3,""
5395,Bianchi,2,1260.00,"",10,11,630.00,3,""
5405,Bianchi,2,100.00,"",10,11,50.00,3,""
5459,Bianchi,4,300.00,rebaja,10,11,150.00,3,""
5497,Bianchi,1,700.00,"",10,11,350.00,3,""
5565,Bianchi,1,400.00,"",10,11,200.00,3,""
5575,Bianchi,2,600.00,"",10,11,300.00,3,""
5577,Bianchi,0,200.00,rebaja,10,11,100.00,3,""
5601,Bianchi,1,200.00,"",10,11,100.00,3,""
5687,Bianchi,2,900.00,"",10,11,450.00,3,""
5695,Bianchi,3,2100.00,2abian27abril,10,11,1050.00,3,""
5697,Bianchi,4,1200.00,"",10,11,600.00,3,""
5727,Bianchi,1,200.00,rebaja,10,11,100.00,3,""
5733,Bianchi,1,200.00,rebaja,10,11,100.00,3,""
5777,Bianchi,2,500.00,bajo Emilio,10,11,250.00,3,""
5813,Bianchi,1,500.00,"",10,11,250.00,3,""
5863,Bianchi,1,1100.00,"",10,11,550.00,3,""
5935,Bianchi,1,600.00,"",10,11,300.00,3,""
5939,Bianchi,5,1300.00,bajo Emilio,10,11,650.00,3,""
5961,Bianchi,2,400.00,bajo Emilio,10,11,200.00,3,""
5967,Bianchi,1,200.00,rebaja,10,11,100.00,3,""
5977,Bianchi,1,200.00,rebaja,10,11,100.00,3,""
6039,Bianchi,2,200.00,rebaja,10,11,100.00,3,""
6077,Bianchi,1,400.00,"",10,11,200.00,3,""
6195,Bianchi,4,500.00,bajo Claudia,10,11,250.00,3,""
6205,Bianchi,1,400.00,bajo Emilio,10,11,200.00,3,""
6355,Bianchi,5,500.00,bajo Claudia,10,11,250.00,3,""
